California_FFTCB,California_TEPRB,California_TETCB,California_TETPB,California_TPOPP,California_REPRB
3.17464e+06,2.63171e+06,3.44992e+06,217.4,15870,270161
3.35226e+06,2.62063e+06,3.60911e+06,218.8,16497,248178
3.40243e+06,2.69312e+06,3.72412e+06,218.1,17072,329046
3.58529e+06,2.84552e+06,3.92374e+06,222.1,17668,360333
3.89843e+06,2.83386e+06,4.21963e+06,232.5,18151,331757
3.96672e+06,3.01049e+06,4.38572e+06,236,18585,418518
4.25342e+06,3.16732e+06,4.64522e+06,246.3,18858,375877
4.35436e+06,3.34027e+06,4.841e+06,252.5,19176,473192
4.64795e+06,3.3959e+06,5.11512e+06,263.7,19394,397366
4.70798e+06,3.4643e+06,5.35678e+06,271.8,19711,544918
4.80564e+06,3.3105e+06,5.49914e+06,274.9,20007,521978
4.97173e+06,3.17216e+06,5.74766e+06,282.5,20346,533790
5.08548e+06,2.95108e+06,5.87201e+06,285.3,20585,472312
5.26943e+06,2.92968e+06,6.04707e+06,289.8,20869,553162
4.87026e+06,2.88216e+06,5.81632e+06,274.7,21174,645073
4.97024e+06,2.7904e+06,6.03284e+06,280.1,21538,578578
5.1611e+06,2.6865e+06,6.18631e+06,282,21936,422852
5.55061e+06,2.73612e+06,6.36147e+06,284.6,22352,338073
5.36865e+06,2.9571e+06,6.4727e+06,283.4,22836,576601
5.70287e+06,2.91731e+06,6.72762e+06,289.3,23257,559806
5.43434e+06,2.99959e+06,6.54047e+06,274.8,23801,591928
5.23665e+06,3.07179e+06,6.3322e+06,260.7,24286,502232
4.70874e+06,3.33762e+06,6.07605e+06,244.8,24820,698981
4.61208e+06,3.5022e+06,6.09232e+06,240.2,25360,807128
4.99008e+06,3.58763e+06,6.53318e+06,252.8,25844,693614
5.09609e+06,3.63537e+06,6.60149e+06,249.7,26441,593488
4.82013e+06,3.64862e+06,6.50112e+06,239.9,27102,666981
5.3577e+06,3.42431e+06,6.93848e+06,249.8,27777,522673
5.42674e+06,3.34202e+06,7.14378e+06,251,28464,512100
5.68202e+06,3.40925e+06,7.42033e+06,254,29218,738917
5.69132e+06,3.2785e+06,7.44375e+06,248.5,29960,669326
5.5526e+06,3.25235e+06,7.34227e+06,241,30471,653513
5.63147e+06,3.18698e+06,7.30821e+06,235.9,30975,642293
5.45342e+06,3.20528e+06,7.14653e+06,228.5,31275,820783
5.72417e+06,2.98594e+06,7.2736e+06,231,31484,633599
5.50738e+06,3.09062e+06,7.29748e+06,230.2,31697,846185
5.4782e+06,3.13467e+06,7.42234e+06,231.8,32019,817736
5.55988e+06,3.04866e+06,7.53878e+06,232.1,32486,760278
5.8002e+06,3.19119e+06,7.83111e+06,237.4,32988,832978
5.87288e+06,3.10333e+06,7.85257e+06,234.4,33499,760009
6.09792e+06,3.06734e+06,7.92127e+06,233.1,33988,736594
6.16741e+06,2.87566e+06,7.95516e+06,230.7,34479,608031
6.09305e+06,2.9257e+06,8.0081e+06,229.6,34872,676209
5.90662e+06,2.90309e+06,7.89226e+06,223.9,35253,719373
6.20194e+06,2.76262e+06,8.26025e+06,232.2,35575,697397
6.11298e+06,2.80817e+06,8.16606e+06,227.9,35828,741140
6.22947e+06,2.80065e+06,8.28927e+06,230.1,36021,821968
6.32914e+06,2.61815e+06,8.26004e+06,227.9,36250,631941
6.0892e+06,2.51956e+06,8.07558e+06,220.6,36604,603931
5.85371e+06,2.49156e+06,7.77431e+06,210.3,36961,646780
5.74097e+06,2.53493e+06,7.76068e+06,207.9,37321,715550
5.5506e+06,2.63901e+06,7.76879e+06,206.4,37642,837314
5.6884e+06,2.3196e+06,7.54944e+06,198.9,37961,703607
5.74788e+06,2.37061e+06,7.638e+06,199.5,38281,741782
5.68684e+06,2.38314e+06,7.58484e+06,196.4,38625,746468
5.77984e+06,2.35003e+06,7.67271e+06,197,38953,734669
5.75256e+06,2.42365e+06,7.81923e+06,199.4,39209,927056
5.75648e+06,2.53579e+06,7.88135e+06,200,39399,1.1153e+06
