,State,Year,Data
0,Alaska,1960,61433.0
1,Alabama,1960,866594.0
2,Arkansas,1960,425974.0
3,Arizona,1960,282993.0
4,California,1960,3449919.0
5,Colorado,1960,424556.0
6,Connecticut,1960,507999.0
7,District of Columbia,1960,119871.0
8,Delaware,1960,156406.0
9,Florida,1960,809559.0
10,Georgia,1960,701005.0
11,Hawaii,1960,94839.0
12,Iowa,1960,601996.0
13,Idaho,1960,190661.0
14,Illinois,1960,2523973.0
15,Indiana,1960,1530437.0
16,Kansas,1960,631316.0
17,Kentucky,1960,823236.0
18,Louisiana,1960,1502163.0
19,Massachusetts,1960,1054127.0
20,Maryland,1960,697260.0
21,Maine,1960,232332.0
22,Michigan,1960,1851644.0
23,Minnesota,1960,723031.0
24,Missouri,1960,899857.0
25,Mississippi,1960,404939.0
26,Montana,1960,227460.0
27,North Carolina,1960,826470.0
28,North Dakota,1960,159415.0
29,Nebraska,1960,307836.0
30,New Hampshire,1960,112158.0
31,New Jersey,1960,1301938.0
32,New Mexico,1960,328439.0
33,Nevada,1960,90994.0
34,New York,1960,2989032.0
35,Ohio,1960,2994711.0
36,Oklahoma,1960,580906.0
37,Oregon,1960,470579.0
38,Pennsylvania,1960,3253214.0
39,Rhode Island,1960,187082.0
40,South Carolina,1960,489216.0
41,South Dakota,1960,128835.0
42,Tennessee,1960,962617.0
43,Texas,1960,4416216.0
44,Utah,1960,303229.0
45,Virginia,1960,851297.0
46,Vermont,1960,68554.0
47,Washington,1960,807277.0
48,Wisconsin,1960,854308.0
49,West Virginia,1960,617977.0
50,Wyoming,1960,141355.0
51,Alaska,1961,72173.0
52,Alabama,1961,831311.0
53,Arkansas,1961,431586.0
54,Arizona,1961,304835.0
55,California,1961,3609108.0
56,Colorado,1961,461749.0
57,Connecticut,1961,518130.0
58,District of Columbia,1961,118175.0
59,Delaware,1961,150335.0
60,Florida,1961,848703.0
61,Georgia,1961,705734.0
62,Hawaii,1961,113754.0
63,Iowa,1961,600070.0
64,Idaho,1961,202853.0
65,Illinois,1961,2558990.0
66,Indiana,1961,1551091.0
67,Kansas,1961,618147.0
68,Kentucky,1961,818917.0
69,Louisiana,1961,1564830.0
70,Massachusetts,1961,1079950.0
71,Maryland,1961,699934.0
72,Maine,1961,244897.0
73,Michigan,1961,1876674.0
74,Minnesota,1961,728237.0
75,Missouri,1961,898673.0
76,Mississippi,1961,411387.0
77,Montana,1961,241691.0
78,North Carolina,1961,858960.0
79,North Dakota,1961,154763.0
80,Nebraska,1961,314944.0
81,New Hampshire,1961,119931.0
82,New Jersey,1961,1361749.0
83,New Mexico,1961,340085.0
84,Nevada,1961,104789.0
85,New York,1961,3093838.0
86,Ohio,1961,2898735.0
87,Oklahoma,1961,582692.0
88,Oregon,1961,485140.0
89,Pennsylvania,1961,3146037.0
90,Rhode Island,1961,172905.0
91,South Carolina,1961,507093.0
92,South Dakota,1961,131556.0
93,Tennessee,1961,978121.0
94,Texas,1961,4447880.0
95,Utah,1961,300811.0
96,Virginia,1961,854600.0
97,Vermont,1961,71941.0
98,Washington,1961,823383.0
99,Wisconsin,1961,877011.0
100,West Virginia,1961,648667.0
101,Wyoming,1961,154474.0
102,Alaska,1962,78812.0
103,Alabama,1962,881239.0
104,Arkansas,1962,456788.0
105,Arizona,1962,324913.0
106,California,1962,3724117.0
107,Colorado,1962,468348.0
108,Connecticut,1962,536644.0
109,District of Columbia,1962,120458.0
110,Delaware,1962,161918.0
111,Florida,1962,949391.0
112,Georgia,1962,764902.0
113,Hawaii,1962,108286.0
114,Iowa,1962,626526.0
115,Idaho,1962,211160.0
116,Illinois,1962,2656186.0
117,Indiana,1962,1580987.0
118,Kansas,1962,639460.0
119,Kentucky,1962,836442.0
120,Louisiana,1962,1580187.0
121,Massachusetts,1962,1111915.0
122,Maryland,1962,748394.0
123,Maine,1962,237907.0
124,Michigan,1962,1985156.0
125,Minnesota,1962,766680.0
126,Missouri,1962,939806.0
127,Mississippi,1962,438300.0
128,Montana,1962,248275.0
129,North Carolina,1962,902745.0
130,North Dakota,1962,164872.0
131,Nebraska,1962,327421.0
132,New Hampshire,1962,128225.0
133,New Jersey,1962,1460847.0
134,New Mexico,1962,376092.0
135,Nevada,1962,112985.0
136,New York,1962,3238540.0
137,Ohio,1962,3036395.0
138,Oklahoma,1962,692041.0
139,Oregon,1962,509385.0
140,Pennsylvania,1962,3255423.0
141,Rhode Island,1962,180862.0
142,South Carolina,1962,540137.0
143,South Dakota,1962,136645.0
144,Tennessee,1962,1015575.0
145,Texas,1962,4640675.0
146,Utah,1962,310319.0
147,Virginia,1962,883702.0
148,Vermont,1962,74781.0
149,Washington,1962,860062.0
150,Wisconsin,1962,917963.0
151,West Virginia,1962,656276.0
152,Wyoming,1962,173407.0
153,Alaska,1963,80788.0
154,Alabama,1963,913155.0
155,Arkansas,1963,484672.0
156,Arizona,1963,348302.0
157,California,1963,3923736.0
158,Colorado,1963,465929.0
159,Connecticut,1963,545224.0
160,District of Columbia,1963,121016.0
161,Delaware,1963,172781.0
162,Florida,1963,994376.0
163,Georgia,1963,802968.0
164,Hawaii,1963,114265.0
165,Iowa,1963,644262.0
166,Idaho,1963,213298.0
167,Illinois,1963,2719427.0
168,Indiana,1963,1635028.0
169,Kansas,1963,641033.0
170,Kentucky,1963,888319.0
171,Louisiana,1963,1747248.0
172,Massachusetts,1963,1083270.0
173,Maryland,1963,775284.0
174,Maine,1963,241423.0
175,Michigan,1963,2072621.0
176,Minnesota,1963,775637.0
177,Missouri,1963,954239.0
178,Mississippi,1963,473278.0
179,Montana,1963,252510.0
