,State,Year,Produced Renewable(Billion Btu),Total Consumed(Billion Btu),GDP(Million dollars),Population(Thousand),Energy Price(dollars per million btu)
0,Alaska,1970,8835.0,182039.0,0.0,304.0,1.39
1,Alabama,1970,132471.0,1393497.0,0.0,3451.0,1.37
2,Arkansas,1970,56933.0,708904.0,0.0,1932.0,1.51
3,Arizona,1970,68919.0,520401.0,0.0,1792.0,1.97
4,California,1970,521978.0,5499139.0,0.0,20007.0,1.74
5,Colorado,1970,21329.0,677623.0,0.0,2223.0,1.52
6,Connecticut,1970,19293.0,693930.0,0.0,3041.0,2.14
7,District of Columbia,1970,113.0,205891.0,0.0,756.0,1.72
8,Delaware,1970,7021.0,219722.0,0.0,551.0,1.71
9,Florida,1970,51035.0,1577450.0,0.0,6848.0,2.33
10,Georgia,1970,98222.0,1280820.0,0.0,4607.0,1.85
11,Hawaii,1970,1559.0,196947.0,0.0,774.0,1.72
12,Iowa,1970,16080.0,850609.0,0.0,2832.0,1.8
13,Idaho,1970,85735.0,296399.0,0.0,718.0,1.76
14,Illinois,1970,41064.0,3696737.0,0.0,11128.0,1.7
15,Indiana,1970,28494.0,2219775.0,0.0,5202.0,1.45
16,Kansas,1970,3730.0,874267.0,0.0,2249.0,1.56
17,Kentucky,1970,57023.0,1104720.0,0.0,3231.0,1.68
18,Louisiana,1970,41620.0,2836864.0,0.0,3652.0,0.95
19,Massachusetts,1970,65043.0,1464384.0,0.0,5706.0,1.89
20,Maryland,1970,51782.0,1067972.0,0.0,3938.0,1.79
21,Maine,1970,59420.0,302380.0,0.0,997.0,1.93
22,Michigan,1970,54309.0,2702538.0,0.0,8890.0,1.71
23,Minnesota,1970,32822.0,1107892.0,0.0,3815.0,1.87
24,Missouri,1970,33344.0,1309269.0,0.0,4688.0,1.85
25,Mississippi,1970,33527.0,746912.0,0.0,2220.0,1.71
26,Montana,1970,98397.0,322784.0,0.0,698.0,1.56
27,North Carolina,1970,111796.0,1342676.0,0.0,5098.0,2.01
28,North Dakota,1970,29922.0,191117.0,0.0,620.0,1.98
29,Nebraska,1970,15950.0,487481.0,0.0,1488.0,1.72
30,New Hampshire,1970,25321.0,186601.0,0.0,742.0,2.18
31,New Jersey,1970,25906.0,1977939.0,0.0,7193.0,1.99
32,New Mexico,1970,5548.0,458694.0,0.0,1023.0,1.46
33,Nevada,1970,18322.0,190122.0,0.0,493.0,1.95
34,New York,1970,325491.0,4303439.0,0.0,18268.0,1.81
35,Ohio,1970,44149.0,3932645.0,0.0,10664.0,1.5
36,Oklahoma,1970,21730.0,939226.0,0.0,2567.0,1.85
37,Oregon,1970,371350.0,752924.0,0.0,2101.0,1.85
38,Pennsylvania,1970,67525.0,4106916.0,0.0,11813.0,1.47
