,State,Year,Prod. Renewable (Bil. Btu),Pop. (1000s),Energy Pr. ($/mil. btu),Difference
1,Alabama,1970,132471.0,3451.0,1.4,-1261026.0
52,Alabama,1971,158182.0,3497.0,1.5,-1226758.0
103,Alabama,1972,164946.0,3539.0,1.6,-1313093.0
154,Alabama,1973,181706.0,3580.0,1.8,-1345503.0
205,Alabama,1974,166734.0,3626.0,2.5,-1380923.0
256,Alabama,1975,184701.0,3679.0,2.8,-1330429.0
307,Alabama,1976,160994.0,3735.0,3.2,-1390812.0
358,Alabama,1977,174751.0,3780.0,3.8,-1448692.0
409,Alabama,1978,148341.0,3832.0,4.0,-1490018.0
460,Alabama,1979,190737.0,3866.0,4.9,-1458030.0
511,Alabama,1980,238766.0,3900.0,6.3,-1406108.0
562,Alabama,1981,213355.0,3919.0,7.4,-1390680.0
613,Alabama,1982,265453.0,3925.0,7.9,-1233597.0
664,Alabama,1983,281940.0,3934.0,7.9,-1164006.0
715,Alabama,1984,287856.0,3952.0,7.8,-1256742.0
766,Alabama,1985,247353.0,3973.0,7.7,-1272322.0
817,Alabama,1986,213815.0,3992.0,7.1,-1290918.0
868,Alabama,1987,229572.0,4015.0,7.0,-1353067.0
919,Alabama,1988,213088.0,4024.0,6.8,-1438638.0
970,Alabama,1989,302389.0,4030.0,7.0,-1380784.0
1021,Alabama,1990,251667.0,4050.0,7.6,-1413784.0
1072,Alabama,1991,255590.0,4099.0,7.5,-1427253.0
1123,Alabama,1992,255014.0,4154.0,7.2,-1498308.0
1174,Alabama,1993,268147.0,4214.0,7.4,-1537120.0
1225,Alabama,1994,332532.0,4260.0,7.1,-1564832.0
1276,Alabama,1995,320101.0,4297.0,7.0,-1651440.0
1327,Alabama,1996,323372.0,4331.0,7.3,-1681131.0
1378,Alabama,1997,299675.0,4368.0,7.5,-1672332.0
1429,Alabama,1998,317065.0,4405.0,7.3,-1700755.0
1480,Alabama,1999,290195.0,4430.0,7.6,-1770539.0
1531,Alabama,2000,263303.0,4452.0,8.8,-1847515.0
1582,Alabama,2001,251523.0,4468.0,9.4,-1665496.0
1633,Alabama,2002,252689.0,4480.0,9.2,-1725296.0
1684,Alabama,2003,283428.0,4503.0,10.0,-1686330.0
1735,Alabama,2004,290697.0,4531.0,11.3,-1792355.0
1786,Alabama,2005,279600.0,4570.0,13.6,-1784921.0
1837,Alabama,2006,266153.0,4629.0,15.0,-1835861.0
1888,Alabama,2007,228160.0,4673.0,16.1,-1857075.0
1939,Alabama,2008,233379.0,4718.0,19.2,-1769046.0
1990,Alabama,2009,264487.0,4758.0,16.6,-1535535.0
2041,Alabama,2010,242243.0,4785.0,17.8,-1699866.0
2092,Alabama,2011,255849.0,4799.0,20.1,-1660917.0
2143,Alabama,2012,242062.0,4816.0,19.9,-1647983.0
2194,Alabama,2013,310497.0,4830.0,18.9,-1623221.0
2245,Alabama,2014,268440.0,4842.0,18.6,-1701917.0
2296,Alabama,2015,257022.0,4853.0,15.7,-1666896.0
2347,Alabama,2016,228840.0,4865.0,14.8,-1699985.0
2398,Alabama,2017,255547.0,4875.0,16.0,-1645389.0
2461,Alabama,2018,305279.6,4971.2,17.5,-1801430.2
2462,Alabama,2019,307578.1,5001.3,17.8,-1812465.0
2463,Alabama,2020,309876.6,5031.3,18.2,-1823499.9
2464,Alabama,2021,312175.1,5061.3,18.5,-1834534.8
2465,Alabama,2022,314473.6,5091.4,18.8,-1845569.6
2466,Alabama,2023,316772.0,5121.4,19.2,-1856604.5
2467,Alabama,2024,319070.5,5151.5,19.5,-1867639.4
2468,Alabama,2025,321369.0,5181.5,19.9,-1878674.2
2469,Alabama,2026,323667.5,5211.6,20.2,-1889709.1
2470,Alabama,2027,325966.0,5241.6,20.5,-1900744.0
2471,Alabama,2028,328264.5,5271.6,20.9,-1911778.8
2472,Alabama,2029,330563.0,5301.7,21.2,-1922813.7
2473,Alabama,2030,332861.5,5331.7,21.6,-1933848.6
0,Alaska,1970,8835.0,304.0,1.4,-173204.0
51,Alaska,1971,9094.0,316.0,1.5,-191868.0
102,Alaska,1972,8673.0,324.0,1.6,-205704.0
153,Alaska,1973,7844.0,331.0,1.7,-189121.0
204,Alaska,1974,8329.0,341.0,2.5,-193159.0
255,Alaska,1975,8608.0,376.0,2.7,-223564.0
306,Alaska,1976,9201.0,401.0,2.9,-245448.0
357,Alaska,1977,11449.0,403.0,3.1,-282040.0
408,Alaska,1978,10809.0,405.0,3.1,-313201.0
459,Alaska,1979,10733.0,403.0,3.6,-289041.0
510,Alaska,1980,8321.0,405.0,5.0,-287424.0
561,Alaska,1981,9216.0,418.0,6.4,-270445.0
612,Alaska,1982,8745.0,450.0,6.0,-400312.0
663,Alaska,1983,9591.0,488.0,6.0,-428036.0
714,Alaska,1984,11152.0,514.0,6.1,-471737.0
765,Alaska,1985,11783.0,532.0,5.9,-462646.0
816,Alaska,1986,10706.0,544.0,5.0,-493546.0
867,Alaska,1987,12000.0,539.0,5.1,-487211.0
918,Alaska,1988,12759.0,542.0,5.5,-508639.0
969,Alaska,1989,18342.0,547.0,6.1,-557850.0
1020,Alaska,1990,18357.0,553.0,6.9,-565725.0
1071,Alaska,1991,17357.0,570.0,6.3,-585303.0
1122,Alaska,1992,18300.0,589.0,6.2,-608937.0
1173,Alaska,1993,20551.0,599.0,6.5,-603062.0
1224,Alaska,1994,23587.0,603.0,6.4,-599455.0
1275,Alaska,1995,22506.0,604.0,6.4,-681556.0
1326,Alaska,1996,21187.0,609.0,6.8,-697562.0
1377,Alaska,1997,14994.0,613.0,6.7,-693747.0
1428,Alaska,1998,13291.0,620.0,5.8,-709915.0
1479,Alaska,1999,10212.0,625.0,6.2,-715119.0
1530,Alaska,2000,12204.0,628.0,8.0,-729857.0
1581,Alaska,2001,16974.0,634.0,8.2,-718764.0
1632,Alaska,2002,17922.0,642.0,7.8,-714975.0
1683,Alaska,2003,19374.0,648.0,9.1,-714088.0
1734,Alaska,2004,18416.0,659.0,11.1,-756584.0
1785,Alaska,2005,15866.0,667.0,14.0,-781793.0
1836,Alaska,2006,13298.0,675.0,16.6,-732975.0
1887,Alaska,2007,14037.0,680.0,17.9,-708941.0
1938,Alaska,2008,12913.0,687.0,23.9,-637373.0
1989,Alaska,2009,15685.0,699.0,18.2,-623866.0
2040,Alaska,2010,16965.0,714.0,20.4,-638610.0
2091,Alaska,2011,16078.0,722.0,25.1,-639742.0
2142,Alaska,2012,17796.0,730.0,25.4,-633381.0
2193,Alaska,2013,18629.0,737.0,24.9,-599658.0
2244,Alaska,2014,19790.0,736.0,24.8,-585460.0
2295,Alaska,2015,23786.0,738.0,18.8,-599000.0
2346,Alaska,2016,25174.0,742.0,16.6,-580756.0
2397,Alaska,2017,23677.0,740.0,18.7,-584458.0
2448,Alaska,2018,22135.1,796.6,20.2,-797815.6
2449,Alaska,2019,22420.9,806.1,20.7,-809094.4
2450,Alaska,2020,22706.7,815.6,21.1,-820373.2
2451,Alaska,2021,22992.6,825.2,21.5,-831651.9
2452,Alaska,2022,23278.4,834.7,22.0,-842930.7
2453,Alaska,2023,23564.2,844.2,22.4,-854209.5
2454,Alaska,2024,23850.0,853.7,22.9,-865488.3
2455,Alaska,2025,24135.8,863.2,23.3,-876767.1
2456,Alaska,2026,24421.6,872.8,23.8,-888045.9
2457,Alaska,2027,24707.5,882.3,24.2,-899324.6
2458,Alaska,2028,24993.3,891.8,24.6,-910603.4
2459,Alaska,2029,25279.1,901.3,25.1,-921882.2
2460,Alaska,2030,25564.9,910.8,25.5,-933161.0
3,Arizona,1970,68919.0,1792.0,2.0,-451482.0
54,Arizona,1971,74136.0,1896.0,2.1,-480076.0
105,Arizona,1972,75189.0,2008.0,2.1,-541263.0
156,Arizona,1973,79348.0,2124.0,2.3,-590769.0
207,Arizona,1974,82058.0,2223.0,3.1,-594251.0
258,Arizona,1975,80897.0,2285.0,3.9,-579107.0
309,Arizona,1976,84428.0,2346.0,4.1,-607456.0
360,Arizona,1977,75681.0,2425.0,4.6,-663208.0
411,Arizona,1978,79870.0,2515.0,5.1,-668115.0
462,Arizona,1979,83414.0,2636.0,6.2,-703065.0
513,Arizona,1980,120006.0,2738.0,8.4,-634485.0
564,Arizona,1981,92565.0,2810.0,9.3,-695355.0
615,Arizona,1982,94926.0,2890.0,9.9,-651568.0
666,Arizona,1983,175993.0,2969.0,9.5,-582007.0
717,Arizona,1984,188831.0,3067.0,9.5,-613795.0
768,Arizona,1985,171680.0,3184.0,10.0,-671422.0
819,Arizona,1986,175103.0,3308.0,9.1,-677870.0
870,Arizona,1987,123114.0,3437.0,9.8,-742710.0
921,Arizona,1988,98749.0,3535.0,9.7,-807666.0
972,Arizona,1989,101498.0,3622.0,10.4,-841617.0
1023,Arizona,1990,94753.0,3684.0,11.2,-844099.0
1074,Arizona,1991,88774.0,3789.0,10.9,-855830.0
1125,Arizona,1992,87528.0,3916.0,11.5,-885473.0
1176,Arizona,1993,86666.0,4065.0,11.7,-900945.0
1227,Arizona,1994,93513.0,4245.0,11.5,-948372.0
1278,Arizona,1995,103931.0,4432.0,11.3,-974331.0
1329,Arizona,1996,112164.0,4587.0,11.9,-1032293.0
1380,Arizona,1997,141607.0,4737.0,11.8,-1026865.0
1431,Arizona,1998,126648.0,4883.0,10.8,-1095463.0
1482,Arizona,1999,114877.0,5024.0,11.2,-1148790.0
1533,Arizona,2000,100776.0,5161.0,12.9,-1209864.0
1584,Arizona,2001,90514.0,5273.0,12.8,-1230424.0
1635,Arizona,2002,86880.0,5396.0,12.4,-1227974.0
1686,Arizona,2003,83080.0,5510.0,13.9,-1250830.0
1737,Arizona,2004,81377.0,5652.0,15.4,-1303104.0
1788,Arizona,2005,78334.0,5839.0,17.9,-1347179.0
1839,Arizona,2006,80773.0,6029.0,19.7,-1390393.0
1890,Arizona,2007,83204.0,6168.0,20.9,-1414512.0
1941,Arizona,2008,96341.0,6280.0,23.9,-1368976.0
1992,Arizona,2009,80680.0,6343.0,20.1,-1299291.0
