,Difference,Energy Price(dollars in million btu),GDP(Million dollar),Population(Thousand),Produced Renewable(Billion Btu),Total Consumed(Billion Btu),Unnamed: 0,Year
0,-63650093.0,1.65,0.0,205052.0,4070021.0,67720114.0,0.0,1970
1,-64901781.0,1.76,0.0,207661.0,4262212.0,69163993.0,1.0,1971
2,-68295199.0,1.84,0.0,209896.0,4382009.0,72677208.0,2.0,1972
3,-71312919.0,2.02,0.0,211909.0,4410938.0,75723857.0,3.0,1973
4,-69172674.0,2.87,0.0,213854.0,4741851.0,73914525.0,4.0,1974
5,-67265912.0,3.33,0.0,215973.0,4687119.0,71953031.0,5.0,1975
6,-71239502.0,3.57,0.0,218035.0,4727151.0,75966653.0,6.0,1976
7,-73737997.0,3.98,0.0,220239.0,4208966.0,77946963.0,7.0,1977
8,-74972627.0,4.23,0.0,222585.0,5005439.0,79978066.0,8.0,1978
9,-75713269.0,5.22,0.0,225055.0,5122854.0,80836123.0,9.0,1979
10,-72623210.0,6.89,0.0,227225.0,5424534.0,78047744.0,10.0,1980
11,-70676778.0,8.04,0.0,229466.0,5417152.0,76093930.0,11.0,1981
12,-67025513.0,8.47,0.0,231664.0,5980929.0,73006442.0,12.0,1982
13,-66383769.0,8.4,0.0,233792.0,6495613.0,72879382.0,13.0,1983
14,-70072596.0,8.3,0.0,235825.0,6438346.0,76510942.0,14.0,1984
15,-70322616.0,8.38,0.0,237924.0,6084016.0,76406632.0,15.0,1985
16,-70480869.0,7.32,0.0,240133.0,6111140.0,76592009.0,16.0,1986
17,-73335717.0,7.36,0.0,242289.0,5624499.0,78960216.0,17.0,1987
18,-77254466.0,7.29,0.0,244499.0,5456756.0,82711222.0,18.0,1988
19,-78497238.0,7.59,0.0,246819.0,6234663.0,84731901.0,19.0,1989
20,-78413394.0,8.29,0.0,249623.0,6041896.0,84455290.0,20.0,1990
21,-78311225.0,8.25,0.0,252981.0,6067786.0,84379011.0,21.0,1991
22,-79911104.0,8.16,0.0,256514.0,5820551.0,85731655.0,22.0,1992
23,-81215235.0,8.29,0.0,259919.0,6079641.0,87294876.0,23.0,1993
24,-83023690.0,8.33,0.0,263126.0,5987153.0,89010843.0,24.0,1994
25,-84437465.0,8.31,0.0,266278.0,6557307.0,90994772.0,25.0,1995
26,-86994201.0,8.77,0.0,269394.0,7010888.0,94005089.0,26.0,1996
27,-87642134.0,8.83,11521900.0,272647.0,7014328.0,94656462.0,27.0,1997
28,-88440671.0,8.22,12038300.0,275854.0,6492764.0,94933435.0,28.0,1998
29,-90009241.0,8.58,12610500.0,279040.0,6516554.0,96525795.0,29.0,1999
30,-92592990.0,10.33,13131000.0,282162.0,6101704.0,98694694.0,30.0,2000
31,-90872877.0,10.78,13262100.0,284969.0,5165027.0,96037904.0,31.0,2001
32,-91810785.0,10.1,13493100.0,287625.0,5729545.0,97540330.0,32.0,2002
33,-91892479.0,11.44,13879100.0,290108.0,5940633.0,97833112.0,33.0,2003
34,-93951282.0,12.9,14406400.0,292805.0,6059052.0,100010334.0,34.0,2004
35,-93890143.0,15.57,14912500.0,295517.0,6207525.0,100097668.0,35.0,2005
36,-92800410.0,17.4,15338300.0,298380.0,6553848.0,99354258.0,36.0,2006
37,-94423033.0,18.34,15626000.0,301231.0,6447005.0,100870038.0,37.0,2007
38,-91620883.0,21.53,15604700.0,304094.0,7103829.0,98724712.0,38.0,2008
39,-86406983.0,17.26,15208800.0,306772.0,7558189.0,93965172.0,39.0,2009
40,-89246217.0,18.92,15598800.0,309326.0,8269334.0,97515551.0,40.0,2010
41,-87678204.0,21.86,15840700.0,311580.0,9174397.0,96852601.0,41.0,2011
42,-85609907.0,21.83,16197000.0,313874.0,8757864.0,94367771.0,42.0,2012
43,-87857353.0,21.42,16495400.0,316058.0,9242048.0,97099401.0,43.0,2013
44,-88666316.0,21.33,16899800.0,318386.0,9600941.0,98267257.0,44.0,2014
45,-87799017.0,17.3,17386700.0,320743.0,9565096.0,97364113.0,45.0,2015
46,-87004740.0,15.94,17659200.0,323071.0,10225357.0,97230097.0,46.0,2016
47,-86527278.0,17.3,18050700.0,325147.0,11094237.0,97621515.0,47.0,2017
0,-95061269.94610178,19.63712945139548,,328837.9581328193,8859831.953801751,,,2018
1,-94957807.81525326,20.018404405600904,,331506.0900369454,8961888.550964028,,,2019
2,-96261331.65130842,20.399679359806214,,334174.22194107156,9063945.148126304,,,2020
3,-96861362.50391173,20.780954314011524,,336842.3538451977,9166001.74528858,,,2021
4,-97461393.35651505,21.162229268216947,,339510.48574932385,9268058.342450887,,,2022
5,-98061424.20911825,21.543504222422257,,342178.61765345,9370114.939613163,,,2023
6,-98661455.06172156,21.924779176627567,,344846.74955757614,9472171.53677544,,,2024
7,-99261485.91432488,22.30605413083299,,347514.8814617023,9574228.133937716,,,2025
8,-99861516.76692796,22.6873290850383,,350183.01336582843,9676284.731100023,,,2026
9,-100461547.61953151,23.06860403924361,,352851.1452699546,9778341.3282623,,,2027
10,-101061578.47213471,23.449878993449033,,355519.2771740807,9880397.925424576,,,2028
11,-101661609.32473814,23.831153947654343,,358187.40907820687,9982454.522586852,,,2029
12,-102261640.17734122,24.212428901859653,,360855.540982333,10084511.119749159,,,2030
