,Year,Prod Data,Cons Data,Status,Comparison
0,1960,2928205.0,45033606.0,0,-42105401.0
1,1961,2952227.0,45684153.0,0,-42731926.0
2,1962,3117444.0,47773067.0,0,-44655623.0
3,1963,3096431.0,49605630.0,0,-46509199.0
4,1964,3225249.0,51766732.0,0,-48541483.0
5,1965,3395816.0,53965864.0,0,-50570048.0
6,1966,3432463.0,56960904.0,0,-53528441.0
7,1967,3690213.0,58916870.0,0,-55226657.0
8,1968,3772655.0,62401694.0,0,-58629039.0
9,1969,4094893.0,65578920.0,0,-61484027.0
10,1970,4070021.0,67720114.0,0,-63650093.0
11,1971,4262212.0,69163993.0,0,-64901781.0
12,1972,4382009.0,72677208.0,0,-68295199.0
13,1973,4410938.0,75723857.0,0,-71312919.0
14,1974,4741851.0,73914525.0,0,-69172674.0
15,1975,4687119.0,71953031.0,0,-67265912.0
16,1976,4727151.0,75966653.0,0,-71239502.0
17,1977,4208966.0,77946963.0,0,-73737997.0
18,1978,5005439.0,79978066.0,0,-74972627.0
19,1979,5122854.0,80836123.0,0,-75713269.0
20,1980,5424534.0,78047744.0,0,-72623210.0
21,1981,5417152.0,76093930.0,0,-70676778.0
22,1982,5980929.0,73006442.0,0,-67025513.0
23,1983,6495613.0,72879382.0,0,-66383769.0
24,1984,6438346.0,76510942.0,0,-70072596.0
25,1985,6084016.0,76406632.0,0,-70322616.0
26,1986,6111140.0,76592009.0,0,-70480869.0
27,1987,5624499.0,78960216.0,0,-73335717.0
28,1988,5456756.0,82711222.0,0,-77254466.0
29,1989,6234663.0,84731901.0,0,-78497238.0
30,1990,6041896.0,84455290.0,0,-78413394.0
31,1991,6067786.0,84379011.0,0,-78311225.0
32,1992,5820551.0,85731655.0,0,-79911104.0
33,1993,6079641.0,87294876.0,0,-81215235.0
34,1994,5987153.0,89010843.0,0,-83023690.0
35,1995,6557307.0,90994772.0,0,-84437465.0
36,1996,7010888.0,94005089.0,0,-86994201.0
37,1997,7014328.0,94656462.0,0,-87642134.0
38,1998,6492764.0,94933435.0,0,-88440671.0
39,1999,6516554.0,96525795.0,0,-90009241.0
40,2000,6101704.0,98694694.0,0,-92592990.0
41,2001,5165027.0,96037904.0,0,-90872877.0
42,2002,5729545.0,97540330.0,0,-91810785.0
43,2003,5940633.0,97833112.0,0,-91892479.0
44,2004,6059052.0,100010334.0,0,-93951282.0
45,2005,6207525.0,100097668.0,0,-93890143.0
46,2006,6553848.0,99354258.0,0,-92800410.0
47,2007,6447005.0,100870038.0,0,-94423033.0
48,2008,7103829.0,98724712.0,0,-91620883.0
49,2009,7558189.0,93965172.0,0,-86406983.0
50,2010,8269334.0,97515551.0,0,-89246217.0
51,2011,9174397.0,96852601.0,0,-87678204.0
52,2012,8757864.0,94367771.0,0,-85609907.0
53,2013,9242048.0,97099401.0,0,-87857353.0
54,2014,9600941.0,98267257.0,0,-88666316.0
55,2015,9565096.0,97364113.0,0,-87799017.0
56,2016,10225357.0,97230097.0,0,-87004740.0
57,2017,11094237.0,97621515.0,0,-86527278.0
